id,company,founder_name,founder_role,email,phone,website,city,category,size,employee_estimate,employee_estimate_source,platform,intent_score,grade,why,signal,subject,body,outreach_status,source
56e77283-fa55-54ef-bec7-1650e0caac8a,Atomberg,IIT Bombay,Founder,support@atomberg.com,+918448449442,https://atomberg.com,Mumbai,electronics,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 13 instances of faq_volume references,live_discovery,,,ready,leads.csv
b98102f2-9e42-5b39-9313-7a82f219b38d,House of EM5,,Founder,em5support@indiainfotech.com,914217733917,https://houseofem5.com,Indore,beauty,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 1 instances of faq_volume references,live_discovery,,,ready,leads.csv
8d29da30-ad93-5ae3-b763-6e903add39be,WYO,,Founder,support@wyo.in,910621174635,https://wyo.in,New Delhi,fashion,,27,icp_midpoint_default,shopify,99.0,SALES_READY,,,,,ready,leads.csv
eda98838-6c27-50f6-91df-7232b80b0350,Juicy Chemistry,,Founder,sales@juicychemistry.com,910050967520,https://juicychemistry.com,Coimbatore,beauty,,27,icp_midpoint_default,shopify,99.0,SALES_READY,,,,,ready,leads.csv
846ac7ae-a18c-56b8-a520-c81f5b428e66,Clovia,,Founder,care@clovia.com,918130909028,https://clovia.com,Noida,fashion,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 5 instances of faq_volume references,live_discovery,,,ready,leads.csv
56c4527b-aaad-54f0-ba9e-85813cd3ecc6,Caprese,,Founder,support@vipbags.com,916935003910,https://capresebags.com,Mumbai,fashion,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 1 instances of faq_volume references,live_discovery,,,ready,leads.csv
5d25d459-a3fd-5ab0-9ebf-d67ebf179a02,Candere,,Founder,support@candere.com,+912261066262,https://candere.com,Mumbai,jewellery,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 3 instances of faq_volume references,live_discovery,,,ready,leads.csv
00e57c53-62c5-58b4-9152-15ac7168a463,Force NXT,,Founder,care@dollarglobal.in,+912288406466,https://forcenxt.com,Tirupur,fashion,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 1 instances of faq_volume references,live_discovery,,,ready,leads.csv
6a5f6e89-710f-52c0-855b-84d7a0a3d334,Be Bodywise,,Founder,support@bebodywise.com,918655859841,https://bebodywise.com,Mumbai,personal care,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 6 instances of faq_volume references,live_discovery,,,ready,leads.csv
47955c6b-2e46-50cc-95cd-7e7cbcc253f9,Insight Cosmetics,,Founder,care@insightcosmetics.in,+91-9167109506,https://insightcosmetics.in,New Delhi,beauty,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 3 instances of faq_volume references,live_discovery,,,ready,leads.csv
1b0cf8a5-84f2-5a53-8af1-2baa29285189,Nua Woman,,Founder,care@nuawoman.com,918828926608,https://nuawoman.com,Mumbai,personal care,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 7 instances of faq_volume references,live_discovery,,,ready,leads.csv
d9d0d163-c003-5dc9-9d02-ee5e29a3ab6e,Man Matters,,Founder,support@manmatters.com,918655859841,https://manmatters.com,Mumbai,personal care,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 9 instances of faq_volume references,live_discovery,,,ready,leads.csv
4ee29a6f-84c4-55ce-a6fe-ef57c133a868,Cheryl's Cosmeceuticals,,Founder,customerservice@cheryls.com,,https://cheryls.com,Mumbai,skincare,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 5 instances of faq_volume references,live_discovery,,,ready,leads.csv
475ee876-3073-5d12-87d5-07268f106c14,VLCC Personal Care,,Founder,jyotio43o@gmail.com,,https://vlccpersonalcare.com,Gurugram,beauty,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 8 instances of faq_volume references,live_discovery,,,ready,leads.csv
78c4351d-9282-5684-acf3-4ff19650607e,Ustraa,,Founder,sainik@ustraa.com,,https://ustraa.com,Gurugram,personal care,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 25 instances of faq_volume references,live_discovery,,,ready,leads.csv
ac8568d1-bc32-5298-8e6f-4be878c1946f,Wow Skin Science,,Founder,support@buywow.in,,https://buywow.in,Bengaluru,beauty,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 16 instances of return_policy references,live_discovery,,,ready,leads.csv
a586bfbc-0806-5856-b7fa-e3dafa11e1aa,Ustraa,,Founder,help@ustraa.com,,https://ustraa.com,Gurugram,personal care,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 25 instances of faq_volume references,live_discovery,,,ready,leads.csv
8e9f1a6b-77e0-5d78-b570-533f50d4c4a9,Deconstruct,,Founder,admin@deconstruct.in,,https://deconstruct.in,Hyderabad,skincare,,27,icp_midpoint_default,,99.0,SALES_READY,,,,,ready,leads.csv
1f533ee6-9dee-5857-a53b-c373aa9a7405,Slurrp Farm,,Founder,mail@slurrpfarm.com,+91-9318318000,https://slurrpfarm.com,New Delhi,food,,27,icp_midpoint_default,shopify,99.0,SALES_READY,,,,,ready,leads.csv
78edf13b-6c04-5503-a681-d6e5d6c3ed85,Open Secret,,Founder,sayhello@opensecret.in,917711642852,https://opensecret.in,Mumbai,food,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 5 instances of faq_volume references,live_discovery,,,ready,leads.csv
224fc367-fb00-5cf7-96bd-572ed675fe9c,Vaaree,,Founder,u003ehelp@vaaree.com,+918068084868,https://vaaree.com,Bengaluru,home_decor,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 60 instances of return_policy references,live_discovery,,,ready,leads.csv
16ac70aa-3d9f-5fc3-b33c-22e8164159e3,Farmley,,Founder,wecare@farmley.com,912852459156,https://farmley.com,New Delhi,food,,27,icp_midpoint_default,shopify,99.0,SALES_READY,,,,,ready,leads.csv
0f003e95-a361-5cb0-a38e-80307c624d0f,Baaya Design,,Founder,info@baayadesign.com,+918928420056,https://baayadesign.com,Mumbai,home_decor,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 11 instances of return_policy references,live_discovery,,,ready,leads.csv
078307d9-c4be-5b5f-b70b-92cc42c5d0a9,WoodenStreet,,Founder,support@woodenstreet.com,+91-9314444747,https://woodenstreet.com,Jaipur,home_decor,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 2 instances of faq_volume references,live_discovery,,,ready,leads.csv
e4b65867-89ca-5f10-ab4b-8e530fe4c81a,The Sleep Company,,Founder,care@thesleepcompany.in,+919811981911,https://thesleepcompany.in,Mumbai,home_decor,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 251 instances of faq_volume references,live_discovery,,,ready,leads.csv
ff9ae95c-4137-58e3-aad2-30a6f59d9d95,Bevzilla,,Founder,info@bevzilla.com,917180176327,https://bevzilla.com,New Delhi,food,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 1 instances of faq_volume references,live_discovery,,,ready,leads.csv
609fa021-656f-538a-b741-e7a34ff54799,Rage Coffee,,Founder,help@ragecoffee.com,916789783217,https://ragecoffee.com,New Delhi,food,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 1 instances of faq_volume references,live_discovery,,,ready,leads.csv
6d606d25-5dfe-5b93-b4cb-b46d7ef652e9,The Label Life,,Founder,help@thelabellife.com,915374217817,https://thelabellife.com,Mumbai,home_decor,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 5 instances of faq_volume references,live_discovery,,,ready,leads.csv
fa358418-6a5b-5b16-8332-89e4dbe845e8,Sarishta,,Founder,imagetextile@gmail.com,,https://sarishta.com,Mumbai,home_decor,small/mid D2C,26,size_field:small/mid D2C,D2C,99.0,SALES_READY,Found 39 instances of faq_volume references,live_discovery,,,ready,leads.csv
